產生時間,epoch,時段,分頁,到期日,行情時間,非今日行情,標的,買權側分數,買權側主導,買權側口數,賣權側分數,賣權側主導,賣權側口數,象限,結論,上緣,上緣來源,下緣,下緣來源,陣地位移
2026-08-24 19:12:36,1787569956,夜盤,週五結算,20260828,19:09:18,,44762,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 19:12:36,1787569956,夜盤,下週三結算,20260902,19:11:39,,44762,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 19:45:21,1787571921,夜盤,週三結算,20260826,19:45:17,,44918,-0.88,中性,15785,0.42,中性,34415,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-24 19:45:21,1787571921,夜盤,週五結算,20260828,19:45:15,,44918,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 19:45:21,1787571921,夜盤,下週三結算,20260902,19:40:42,,44918,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 20:15:55,1787573755,夜盤,週三結算,20260826,20:15:51,,44879,-0.47,中性,17703,0.13,中性,35643,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-24 20:15:55,1787573755,夜盤,週五結算,20260828,20:06:48,,44879,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 20:15:55,1787573755,夜盤,下週三結算,20260902,20:14:50,,44879,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 21:17:54,1787577474,夜盤,週三結算,20260826,21:17:47,,44801,1.80,中性,20445,0.28,中性,37315,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-24 21:17:54,1787577474,夜盤,週五結算,20260828,21:17:33,,44801,,不判定,0,,不判定,0,flat,觀望,46000,昨日OI,44000,昨日OI,
2026-08-24 21:17:54,1787577474,夜盤,下週三結算,20260902,21:17:23,,44801,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-24 22:11:37,1787580697,夜盤,週三結算,20260826,22:11:35,,44345,-0.08,中性,32516,-0.18,中性,36444,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 800 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-24 22:11:37,1787580697,夜盤,週五結算,20260828,22:11:33,,44345,,不判定,0,,不判定,0,flat,觀望,45000,昨日OI,44000,昨日OI,
2026-08-24 22:11:37,1787580697,夜盤,下週三結算,20260902,22:11:32,,44345,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43000,昨日OI,
2026-08-24 23:02:11,1787583731,夜盤,週三結算,20260826,23:02:07,,44331,-0.45,中性,37761,2.29,BP,40402,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 800 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-24 23:02:11,1787583731,夜盤,週五結算,20260828,23:01:48,,44331,,不判定,0,,不判定,0,flat,觀望,45000,昨日OI,44000,昨日OI,
2026-08-24 23:02:11,1787583731,夜盤,下週三結算,20260902,23:02:00,,44331,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43000,昨日OI,
2026-08-24 23:50:41,1787586641,夜盤,週三結算,20260826,23:50:37,,44575,-0.12,中性,44235,1.82,中性,56029,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-24 23:50:41,1787586641,夜盤,週五結算,20260828,23:50:28,,44575,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-24 23:50:41,1787586641,夜盤,下週三結算,20260902,23:49:20,,44575,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 00:42:59,1787589779,夜盤,週三結算,20260826,08/24 00:42:51,Y,44530,-0.49,中性,46508,-0.30,中性,56991,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 00:42:59,1787589779,夜盤,週五結算,20260828,08/24 00:41:39,Y,44530,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-25 00:42:59,1787589779,夜盤,下週三結算,20260902,08/24 23:57:10,Y,44530,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 01:17:19,1787591839,夜盤,週三結算,20260826,08/24 01:17:13,Y,44568,0.25,中性,46641,2.65,BP,58619,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 01:17:19,1787591839,夜盤,週五結算,20260828,08/24 01:15:14,Y,44568,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-25 01:17:19,1787591839,夜盤,下週三結算,20260902,08/24 01:09:37,Y,44568,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 01:59:17,1787594357,夜盤,週三結算,20260826,08/24 01:59:11,Y,44468,0.59,中性,47656,-0.77,中性,55801,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 800 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 01:59:17,1787594357,夜盤,週五結算,20260828,08/24 01:38:31,Y,44468,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地上移 400 點（偏多）
2026-08-25 01:59:17,1787594357,夜盤,下週三結算,20260902,08/24 01:18:38,Y,44468,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43000,昨日OI,
2026-08-25 02:52:14,1787597534,夜盤,週三結算,20260826,08/24 02:51:54,Y,44604,-0.14,中性,46724,0.61,中性,61765,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 02:52:14,1787597534,夜盤,週五結算,20260828,08/24 02:36:18,Y,44604,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-25 02:52:14,1787597534,夜盤,下週三結算,20260902,08/24 02:30:24,Y,44604,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 03:33:17,1787599997,夜盤,週三結算,20260826,08/24 03:33:04,Y,44576,-0.36,中性,48084,1.78,中性,59948,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 03:33:17,1787599997,夜盤,週五結算,20260828,08/24 03:21:03,Y,44576,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-25 03:33:17,1787599997,夜盤,下週三結算,20260902,08/24 02:30:24,Y,44576,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 04:03:52,1787601832,夜盤,週三結算,20260826,08/24 04:02:29,Y,44506,-0.28,中性,48911,1.16,中性,59013,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 04:03:52,1787601832,夜盤,週五結算,20260828,08/24 03:54:15,Y,44506,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-25 04:03:52,1787601832,夜盤,下週三結算,20260902,08/24 02:30:24,Y,44506,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 04:49:35,1787604575,夜盤,週三結算,20260826,08/24 04:49:16,Y,44521,1.62,中性,49129,1.42,中性,59209,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 04:49:35,1787604575,夜盤,週五結算,20260828,08/24 03:54:15,Y,44521,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-25 04:49:35,1787604575,夜盤,下週三結算,20260902,08/24 02:30:24,Y,44521,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 05:33:49,1787607229,非交易,週三結算,20260826,08/24 04:59:57,Y,44532,2.53,中性,49276,1.00,中性,59283,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 05:33:49,1787607229,非交易,週五結算,20260828,08/24 04:50:15,Y,44532,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-25 05:33:49,1787607229,非交易,下週三結算,20260902,08/24 04:53:22,Y,44532,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 06:02:31,1787608951,非交易,週三結算,20260826,08/24 04:59:57,Y,44532,2.53,中性,49276,1.00,中性,59283,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 06:02:31,1787608951,非交易,週五結算,20260828,08/24 04:50:15,Y,44532,,不判定,0,,不判定,0,flat,觀望,45400,盤中,44000,昨日OI,買權陣地下移 600 點（偏空）
2026-08-25 06:02:31,1787608951,非交易,下週三結算,20260902,08/24 04:53:22,Y,44532,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 08:55:13,1787619313,日盤,週三結算,20260826,08:55:08,,44446,1.82,中性,3398,2.60,中性,2430,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 800 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 08:55:13,1787619313,日盤,週五結算,20260828,08:52:55,,44446,,不判定,0,,不判定,0,flat,觀望,45000,昨日OI,44000,昨日OI,
2026-08-25 08:55:13,1787619313,日盤,下週三結算,20260902,08:52:02,,44446,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43000,昨日OI,
2026-08-25 10:15:26,1787624126,日盤,週三結算,20260826,10:15:21,,44337,3.68,BC,30058,3.91,中性,26790,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 800 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 10:15:26,1787624126,日盤,週五結算,20260828,10:15:19,,44337,,不判定,0,,不判定,0,flat,觀望,45000,昨日OI,44000,昨日OI,
2026-08-25 10:15:26,1787624126,日盤,下週三結算,20260902,10:15:09,,44337,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43000,昨日OI,
2026-08-25 11:13:28,1787627608,日盤,週三結算,20260826,11:13:20,,44359,3.72,BC,38829,3.61,中性,36125,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 800 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 11:13:28,1787627608,日盤,週五結算,20260828,11:12:51,,44359,,不判定,0,,不判定,0,flat,觀望,45700,盤中,44000,昨日OI,買權陣地上移 700 點（偏多）
2026-08-25 11:13:28,1787627608,日盤,下週三結算,20260902,11:12:26,,44359,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43000,昨日OI,
2026-08-25 11:58:49,1787630329,日盤,週三結算,20260826,11:58:46,,44426,2.45,中性,45555,6.67,中性,45433,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 800 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 11:58:49,1787630329,日盤,週五結算,20260828,11:58:41,,44426,0.76,中性,638,,不判定,0,flat,觀望,45700,盤中,44000,昨日OI,買權陣地上移 700 點（偏多）
2026-08-25 11:58:49,1787630329,日盤,下週三結算,20260902,11:58:39,,44426,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,43000,昨日OI,
2026-08-25 12:36:42,1787632602,日盤,週三結算,20260826,12:36:38,,44721,1.07,中性,37970,0.36,中性,55923,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 12:36:42,1787632602,日盤,週五結算,20260828,12:36:36,,44721,2.05,中性,1053,,不判定,0,flat,觀望,46000,盤中,44000,昨日OI,
2026-08-25 12:36:42,1787632602,日盤,下週三結算,20260902,12:34:52,,44721,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 13:17:04,1787635024,日盤,週三結算,20260826,13:16:56,,44972,1.29,中性,35537,-0.04,中性,67183,flat,觀望,45000,盤中,44000,盤中,"買權陣地下移 1,000 點（偏空）"
2026-08-25 13:17:04,1787635024,日盤,週五結算,20260828,13:16:56,,44972,-0.50,中性,1820,,不判定,0,flat,觀望,45300,盤中,44000,盤中,買權陣地下移 700 點（偏空）
2026-08-25 13:17:04,1787635024,日盤,下週三結算,20260902,13:16:56,,44972,,不判定,0,,不判定,0,flat,觀望,45200,昨日OI,44000,昨日OI,
2026-08-25 13:49:08,1787636948,非交易,週三結算,20260826,13:44:59,,45027,-1.31,中性,33430,1.03,中性,74649,flat,觀望,45100,盤中,44000,盤中,買權陣地下移 900 點（偏空）
2026-08-25 13:49:08,1787636948,非交易,週五結算,20260828,13:44:58,,45027,0.60,中性,1976,,不判定,0,flat,觀望,45300,盤中,44000,盤中,買權陣地下移 700 點（偏空）
2026-08-25 13:49:08,1787636948,非交易,下週三結算,20260902,13:44:46,,45027,,不判定,307,,不判定,0,flat,觀望,46000,盤中,45000,昨日OI,買權陣地上移 800 點（偏多）
2026-08-25 15:49:08,1787644148,夜盤,週三結算,20260826,15:49:00,,45096,0.89,中性,6715,0.63,中性,8433,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 15:49:08,1787644148,夜盤,週五結算,20260828,15:47:56,,45096,,不判定,0,,不判定,0,flat,觀望,45300,昨日OI,44000,昨日OI,
2026-08-25 15:49:08,1787644148,夜盤,下週三結算,20260902,15:48:32,,45096,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 16:49:32,1787647772,夜盤,週三結算,20260826,16:49:26,,45176,0.09,中性,11493,-0.02,中性,16833,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 16:49:32,1787647772,夜盤,週五結算,20260828,16:49:15,,45176,,不判定,0,,不判定,0,flat,觀望,45300,昨日OI,44000,昨日OI,
2026-08-25 16:49:32,1787647772,夜盤,下週三結算,20260902,16:48:08,,45176,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 17:39:52,1787650792,夜盤,週三結算,20260826,17:39:48,,45234,0.83,中性,14137,1.04,中性,23023,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 17:39:52,1787650792,夜盤,週五結算,20260828,17:39:48,,45234,,不判定,0,,不判定,0,flat,觀望,45300,昨日OI,44000,昨日OI,
2026-08-25 17:39:52,1787650792,夜盤,下週三結算,20260902,17:39:25,,45234,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 18:13:47,1787652827,夜盤,週三結算,20260826,18:13:43,,45263,0.04,中性,16680,0.29,中性,26253,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 18:13:47,1787652827,夜盤,週五結算,20260828,18:13:37,,45263,,不判定,0,,不判定,0,flat,觀望,46000,盤中,44000,昨日OI,買權陣地上移 700 點（偏多）
2026-08-25 18:13:47,1787652827,夜盤,下週三結算,20260902,18:13:30,,45263,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 18:51:59,1787655119,夜盤,週三結算,20260826,18:51:48,,45261,-0.07,中性,18129,0.59,中性,27616,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 18:51:59,1787655119,夜盤,週五結算,20260828,18:50:59,,45261,,不判定,0,,不判定,0,flat,觀望,46000,盤中,44000,昨日OI,買權陣地上移 700 點（偏多）
2026-08-25 18:51:59,1787655119,夜盤,下週三結算,20260902,18:51:20,,45261,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 19:32:47,1787657567,夜盤,週三結算,20260826,19:32:43,,45222,0.57,中性,20868,-0.15,中性,29960,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 19:32:47,1787657567,夜盤,週五結算,20260828,19:30:20,,45222,,不判定,0,,不判定,0,flat,觀望,46000,盤中,44000,昨日OI,買權陣地上移 700 點（偏多）
2026-08-25 19:32:47,1787657567,夜盤,下週三結算,20260902,19:32:33,,45222,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 20:04:41,1787659481,夜盤,週三結算,20260826,20:04:37,,45295,0.31,中性,21391,0.08,中性,31574,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 20:04:41,1787659481,夜盤,週五結算,20260828,20:04:35,,45295,,不判定,0,,不判定,0,flat,觀望,46000,盤中,44000,昨日OI,買權陣地上移 700 點（偏多）
2026-08-25 20:04:41,1787659481,夜盤,下週三結算,20260902,20:04:30,,45295,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 21:12:59,1787663579,夜盤,週三結算,20260826,21:12:54,,45246,-1.37,中性,25840,0.09,中性,35362,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 21:12:59,1787663579,夜盤,週五結算,20260828,21:12:36,,45246,,不判定,0,,不判定,0,flat,觀望,46000,盤中,44000,昨日OI,買權陣地上移 700 點（偏多）
2026-08-25 21:12:59,1787663579,夜盤,下週三結算,20260902,21:09:23,,45246,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 22:06:11,1787666771,夜盤,週三結算,20260826,22:06:07,,45266,1.82,中性,33629,-0.30,中性,45722,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 22:06:11,1787666771,夜盤,週五結算,20260828,22:06:05,,45266,-0.59,中性,660,,不判定,0,flat,觀望,46000,盤中,44000,盤中,買權陣地上移 700 點（偏多）
2026-08-25 22:06:11,1787666771,夜盤,下週三結算,20260902,22:05:49,,45266,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-25 23:07:06,1787670426,夜盤,週三結算,20260826,23:07:02,,45266,3.95,中性,40914,3.61,BP,54280,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-25 23:07:06,1787670426,夜盤,週五結算,20260828,23:06:40,,45266,-1.50,中性,784,,不判定,381,flat,觀望,46000,盤中,44000,盤中,買權陣地上移 700 點（偏多）
2026-08-25 23:07:06,1787670426,夜盤,下週三結算,20260902,22:58:03,,45266,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-26 00:01:49,1787673709,夜盤,週三結算,20260826,08/25 00:01:45,Y,45288,7.70,中性,44922,4.97,BP,59907,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-26 00:01:49,1787673709,夜盤,週五結算,20260828,08/25 00:00:06,Y,45288,2.58,中性,952,,不判定,399,flat,觀望,46000,盤中,44000,盤中,買權陣地上移 700 點（偏多）
2026-08-26 00:01:49,1787673709,夜盤,下週三結算,20260902,08/25 23:55:42,Y,45288,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-26 00:49:48,1787676588,夜盤,週三結算,20260826,08/25 00:49:35,Y,45302,7.66,中性,41327,3.73,中性,65111,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-26 00:49:48,1787676588,夜盤,週五結算,20260828,08/25 00:48:25,Y,45302,-0.63,中性,1018,-1.83,中性,500,flat,觀望,46000,盤中,44000,盤中,
2026-08-26 00:49:48,1787676588,夜盤,下週三結算,20260902,08/25 00:49:41,Y,45302,,不判定,0,,不判定,0,flat,觀望,46200,昨日OI,45000,昨日OI,
2026-08-26 01:35:14,1787679314,夜盤,週三結算,20260826,08/25 01:35:09,Y,45292,3.66,中性,48104,5.61,BP,65167,flat,觀望,45500,盤中,45000,盤中,"買權陣地下移 500 點（偏空）；支撐上移 1,000 點（偏多）"
2026-08-26 01:35:14,1787679314,夜盤,週五結算,20260828,08/25 01:33:34,Y,45292,-1.24,中性,980,-5.41,SP,504,flat,觀望,46000,盤中,44000,盤中,買權陣地上移 700 點（偏多）
